Software | Software engineering | http://edamontology.org/topic_3372 | NO | LABEL | INEXACT | TOPIC || 0.42105263157894735 | 0.42105263157894735 | 0.42105263157894735
AnnotationData | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
AnnotationData | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
AnnotationData | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
ExperimentData | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
ExperimentData | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
ExperimentData | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
AssayDomain | SMART domain name | http://edamontology.org/data_2782 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Technology | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.7692307692307692 | 0.7692307692307692 | 0.7692307692307692
Technology | CATH topology | http://edamontology.org/data_1558 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
ResearchField | Search | http://edamontology.org/operation_0224 | NO | NARROW_SYNONYM | INEXACT | OPERATION || 0.46153846153846156 | 0.46153846153846156 | 0.4615384615384615
BiologicalQuestion | Biological chemistry | http://edamontology.org/topic_3292 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.631578947368421 | 0.0 | 0.42105263157894735
BiologicalQuestion | Biological pathway map | http://edamontology.org/data_0947 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
BiologicalQuestion | Tau angle calculation | http://edamontology.org/operation_1828 | NO | LABEL | INEXACT | OPERATION || 0.4736842105263158 | 0.0 | 0.31578947368421056
WorkflowStep | Workflows | http://edamontology.org/topic_0769 | YES | LABEL | INEXACT | TOPIC || 0.75 | 0.75 | 0.75
WorkflowStep | Workflow data | http://edamontology.org/data_2971 | YES | LABEL | INEXACT | DATA || 0.6666666666666667 | 0.0 | 0.4444444444444445
